FILE,INFO,MIRROR1,MIRROR2,MIRROR3,MIRROR4,AUTHOR
ef44_210226_ironize.zip,Rom IRONize for EF44,"<a href=""https://imholic.com"">IMHOLIC</a>",MintServer,,,alpha2x
aokp_ef44s_unofficial_Dec-27-12.zip,Rom AOKP for EF44,MintServer,"<a href=""https://pfile.imholic.com:2822/Pantech/%EB%9E%98%EC%A0%84%EB%93%9C%20upload/Vega%20S5/aokp_ef44s_unofficial_Dec-27-12.zip"">IMHOLIC</a>","<a href=""http://www.mediafire.com/?2k253eujjp5ff"">MediaFire</a>",,hPa
cm-10-20121227-UNOFFICIAL-ef44s.zip,Rom CM10 for EF44,MintServer,"<a href=""https://pfile.imholic.com:2822/Pantech/%EB%9E%98%EC%A0%84%EB%93%9C%20upload/Vega%20S5/cm-10-20121227-UNOFFICIAL-ef44s.zip"">IMHOLIC</a>","<a href=""http://www.mediafire.com/?2k253eujjp5ff"">MediaFire</a>",,hPa
pa_ef44s-2.99-27DEC2012-211136.zip,Rom PA for EF44,MintServer,"<a href=""https://pfile.imholic.com:2822/Pantech/%EB%9E%98%EC%A0%84%EB%93%9C%20upload/Vega%20S5/pa_ef44s-2.99-27DEC2012-211136.zip"">IMHOLIC</a>","<a href=""http://www.mediafire.com/?2k253eujjp5ff"">MediaFire</a>",,hPa
UPDATE-Miniterial-III-Flashable.zip,Rom Miniterial III,"<a href=""https://pfile.imholic.com:2822/Pantech/%EB%9E%98%EC%A0%84%EB%93%9C%20upload/Vega%20S5/MINITERIAL_III/UPDATE-Miniterial-III-Flashable.zip"">IMHOLIC</a>",,,,Son Le Tran
FLATCOLOR v3.zip,FLATCOLOR v3 A840,"<a href=""https://pfile.imholic.com:2822/Pantech/%EB%9E%98%EC%A0%84%EB%93%9C%20upload/Vega%20S5/FLATCOLOR%20v3.zip"">IMHOLIC</a>","<a href=""https://drive.google.com/file/d/0BzFBmZzyxc1acDNreHhkZC01Unc/view?resourcekey=0-eTyHiC8yUzbyksXmvdQ3Bg"">Gdrive</a>",,,?
IM-A840S_2.24_update.zip,JB 4.1.2 update.zip,"<a href=""https://drive.google.com/file/d/0B_vzGv74n2LCcTV6YUVUOTF0bDQ/view?usp=sharing&resourcekey=0-aZXXzsbX0ag1JKrYP-L5Qg"">Gdrive</a>","<a href=""https://pantech.kongjak.com/Update_Zip/IM-A840S_S0215224.zip"">Pantech Kongjak</a>",,,Pantech
IM-A840S_1.66_update.zip,ICS 4.0.4 update.zip,"<a href=""https://drive.google.com/file/d/0B_vzGv74n2LCOWlxaHNFVkp0R0U/view?usp=sharing&resourcekey=0-ajyxRhRy5uKGSujAZeZT4g"">Gdrive</a>",,,,Pantech
IM-A840S_S0215224.pdl,JB 4.1.2 PDL,"<a href=""https://pfile.imholic.com:2822/Pantech/%EC%8A%A4%EB%A7%88%ED%8A%B8%ED%8F%B0%20%EC%88%9C%EC%A0%95%28PDL%ED%8C%8C%EC%9D%BC%29/PDL%EC%88%9C%EC%A0%95%ED%8C%8C%EC%9D%BC/IM-A840S_S0215224.pdl.bz2"">IMHOLIC</a>",,,,Pantech
IM-A840S_S0215224.BINX,JB 4.1.2 BINX,"<a href=""https://pfile.imholic.com:2822/Pantech/%EC%99%B8%EB%B6%80%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C_%EB%B0%B1%EC%97%85/pantech.iyagi.net/pantech-firmware/IM-A840S_S0215224.BINX"">IMHOLIC</a>","<a href=""http://pantech.iyagi.net/pantech-firmware/IM-A840S_S0215224.BINX"">Pantech IYAGI</a>","<a href=""https://pantech.kongjak.com/BINX/IM-A840S_S0215224.BINX"">Pantech Kongjak</a>",,Pantech
test+miuiv4.zip,MIUI_V4 A840,"<a href=""https://pfile.imholic.com:2822/Pantech/%EB%9E%98%EC%A0%84%EB%93%9C%20upload/test%2Bmiuiv4.zip"">IMHOLIC</a>",,,,hPa/alpha2x
recovery.img,TWRP 3.5.2_9-0 ef44,"<a href=""https://github.com/HexagonWin/twrp_device_pantech_ef44/releases"">Github</a>",,,,alpha2x
recovery.img,CWM 6.0.3.5 ICS,"<a href=""https://cafe.naver.com/skyplanet/1414"">Pantech Planet (Naver Cafe)",,,,LionelRonaldo
recovery.img,PhilzTouch JB,"<a href=""https://cafe.naver.com/skyplanet/1412"">Pantech Planet (Naver Cafe)",,,,davidmanxx
recovery.img,TWRP 2.8.0.0 JB,"<a href=""https://cafe.naver.com/skyplanet/1413"">Pantech Planet (Naver Cafe)",,,,Alteration
